"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AFUB_082079-T",757.652607422609,3.74734781216693,0.468364108221076,6.4002733106734e-17,6.16730336216489e-13
"AFUB_080270-T",212.80811222941,3.95065068611311,0.501157686047524,1.75160033565429e-16,8.43921041718235e-13
"AFUB_080430-T",474.147818366699,-1.75870981327996,0.231787750752701,2.10302798124e-15,6.75492587574286e-12
"AFUB_055520-T",211.497701346079,3.83419719624936,0.548375382776317,1.43683860742995e-13,2.63145698430378e-10
"AFUB_024600-T",106.417560580872,4.77718870213771,0.681419724178286,1.55773887175335e-13,2.63145698430378e-10
"AFUB_010860-T",383.534778552191,4.24757300184597,0.610826353206274,1.63851617951667e-13,2.63145698430378e-10
"AFUB_090280-T",1208.86661642646,2.89938263706564,0.43168515281189,9.71722583307075e-13,1.33764554467814e-09
"AFUB_051700-T",714.639128773715,2.89222607442973,0.433046307351298,1.26033923031799e-12,1.51807860291802e-09
"AFUB_041110-T",469.208204292775,3.25370384727854,0.49045078460051,1.64442676940835e-12,1.76063292777987e-09
"AFUB_080420-T",284.456768850506,-1.26089212989491,0.189491261470622,2.40047887989562e-12,2.31310144866742e-09
"AFUB_086180-T",9085.41525697268,-1.44215764927097,0.218350649381948,2.94374751923307e-12,2.57872282684817e-09
"AFUB_084620-T",339.933458319949,2.07349060356165,0.317727723021979,4.02902842309828e-12,3.23530982374792e-09
"AFUB_060970-T",130.920954632399,2.96075327632929,0.457728401632767,5.72746538475554e-12,4.03163779363480e-09
"AFUB_047110-T",963.54427799635,-1.28054361241677,0.196294401390513,5.85750613438015e-12,4.03163779363480e-09
"AFUB_026560-T",56.2580274303201,2.87942924626328,0.444772923488988,7.69528717768521e-12,4.94345248294498e-09
"AFUB_099480-T",286.404536008878,2.25104579310573,0.355426616989842,1.46265844891996e-11,8.76029323686301e-09
"AFUB_017290-T",3167.9651971494,1.565001650705,0.246180153779298,1.5455062788156e-11,8.76029323686301e-09
"AFUB_024940-T",197.601845032989,2.67045282361291,0.425808071185623,1.95058026837123e-11,1.0442106370014e-08
"AFUB_021260-T",4664.5061844396,1.06824895415373,0.168250071824938,2.37339829666998e-11,1.20368768351115e-08
"AFUB_000340-T",6344.54719734315,-1.3327913331251,0.212178446450055,3.88556220401128e-11,1.87206386989264e-08
"AFUB_054480-T",1374.8762282416,2.27337947914827,0.371633987402535,4.74821761240269e-11,2.17875356729106e-08
"AFUB_014360-T",227.610390143153,3.01465051312459,0.497044523083493,6.3057593719257e-11,2.76192260490346e-08
"AFUB_039670-T",274.333891311682,2.13987391149175,0.357079074448804,1.19997439235805e-10,5.02737097598354e-08
"AFUB_003760-T",639.317154407934,1.78771366689915,0.298043243775061,1.28488094119478e-10,5.15879697889704e-08
"AFUB_061530-T",623.389418499575,1.60296276142769,0.267063763546325,1.35376881784019e-10,5.21796653148321e-08
"AFUB_008120-T",1662.40536501556,2.48840383195224,0.419392044228586,1.4640912159122e-10,5.42614729097305e-08
"AFUB_101520-T",104.830821413139,3.08186077309326,0.527121727140661,2.78493471482324e-10,9.78608142895353e-08
"AFUB_086050-T",4230.29177566598,-1.19267932899079,0.201466143625819,2.84361021181713e-10,9.78608142895353e-08
"AFUB_087090-T",438.163525287922,-1.05731320978347,0.17793290017644,2.94932896107232e-10,9.7999082306527e-08
"AFUB_019760-T",666.169520076347,1.86347112439417,0.32191743036953,4.3633675011517e-10,1.40151364136993e-07
"AFUB_050320-T",78.482835803929,3.46375898732975,0.611721279048173,8.50377787834431e-10,2.56070011361643e-07
"AFUB_086990-T",503.749232312488,1.95009012627066,0.347150325971038,1.16381430821385e-09,3.33632525066545e-07
"AFUB_072920-T",3019.21884014355,1.63527103033847,0.289662304885987,1.20323515832397e-09,3.33632525066545e-07
"AFUB_047690-T",3545.78382840154,-1.29538227722318,0.230525002664296,1.52614885297495e-09,4.08499176312961e-07
"AFUB_081310-T",896.443288309693,3.08430066708201,0.569558931791575,2.91024064134058e-09,7.26671496788267e-07
"AFUB_059610-T",126.136743388088,2.11857523789156,0.38855286908749,2.94107392847057e-09,7.26671496788267e-07
"AFUB_055080-T",552.159579255825,1.87087632893061,0.343582518039965,3.11765522539742e-09,7.51043143798238e-07
"AFUB_062090-T",241.981781404395,1.65732732294539,0.303465625732767,3.20241549101257e-09,7.52645748082857e-07
"AFUB_045540-T",317.077863240425,2.34132399216625,0.433787272131442,3.66183149835667e-09,8.40128769480117e-07
"AFUB_046170-T",7349.03127465485,-1.66353830296087,0.311203998059902,5.46487060858786e-09,1.22463937638029e-06
"AFUB_091800-T",545.408315254358,-1.47723572148566,0.275823224363312,5.641392687622e-09,1.23546499858922e-06
"AFUB_049545-T",510.845243050467,1.8385420802048,0.347463551461288,7.43423791587969e-09,1.58956134788809e-06
"AFUB_007260-T",445.736197442667,1.70753659733802,0.322321216269848,7.58819240378293e-09,1.58956134788809e-06
"AFUB_023790-T",2628.63201200023,-1.62426371492836,0.307663756503906,8.19722098697687e-09,1.68060471128743e-06
"AFUB_086800-T",390.754817009573,1.42905008752788,0.270681430250386,9.68105905389119e-09,1.94347260506866e-06
"AFUB_070950-T",4270.04570382906,-1.54153119267068,0.294846761441383,1.13781570050464e-08,2.23754940613524e-06
"AFUB_100500-T",42.129403076427,2.95263552993135,0.570899750470105,1.47957894724154e-08,2.80723238514129e-06
"AFUB_037180-T",105.283588486884,3.10352217700738,0.605685042194755,1.48577056498761e-08,2.80723238514129e-06
"AFUB_056650-T",194.541973392038,-1.00164440651254,0.190627537333825,1.63456558239581e-08,3.02897575999346e-06
"AFUB_099690-T",30584.0568123208,-1.2352009448379,0.237601593827066,1.66989471678602e-08,3.0360576398019e-06
"AFUB_020630-T",386.828829469641,2.05024269147366,0.402070766133217,1.91067497925099e-08,3.40949335186343e-06
"AFUB_004500-T",23596.8537310624,-2.04176258656535,0.401499478526249,1.94625507711642e-08,3.40983889510797e-06
"AFUB_051350-T",193.085175186265,-1.2334261396478,0.238726947898194,2.04656835011606e-08,3.52155939673543e-06
"AFUB_047530-T",610.441472811129,-1.24430546972065,0.241470977620046,2.10727054954644e-08,3.5623963184964e-06
"AFUB_017840-T",9885.22068838885,-1.07143140784634,0.206339446648384,2.24612033653611e-08,3.66840941743424e-06
"AFUB_027650-T",742.349750611315,1.81083133625281,0.358145019143272,2.56427152961231e-08,4.11822007655737e-06
"AFUB_079810-T",208.188945875111,1.37791552684956,0.270572979530714,2.73722339412053e-08,4.32391551241729e-06
"AFUB_091880-T",58.7781964124659,-1.63831406842905,0.323644335434868,2.81497587413306e-08,4.33542817054042e-06
"AFUB_094600-T",739.195706086631,1.64961960760569,0.326270791764054,2.83449537924498e-08,4.33542817054042e-06
"AFUB_036730-T",89.1665357283614,3.33719355439712,0.667729599237446,2.92275482014733e-08,4.3694063381673e-06
"AFUB_090320-T",2494.31013260237,1.32767180245726,0.26134528317178,2.94739946015851e-08,4.3694063381673e-06
"AFUB_039510-T",136.826241142141,2.29679618378123,0.460997940880667,3.47406909452663e-08,4.942437744603e-06
"AFUB_031980-T",379.546064872357,1.66328602065397,0.332372396808256,3.48172601883284e-08,4.942437744603e-06
"AFUB_099260-T",1247.94727143472,2.72638478550819,0.550409860554276,3.4878140995538e-08,4.942437744603e-06
"AFUB_057550-T",70.4035559604051,2.77365555780533,0.557710260835033,3.68830726291059e-08,5.15080127324731e-06
"AFUB_068210-T",377.977234390342,2.36465459197986,0.477456370744706,3.81115062549732e-08,5.24632106104174e-06
"AFUB_085820-T",386.124495940415,2.48142844443593,0.5029174923044,4.06438360639311e-08,5.51611273678929e-06
"AFUB_068040-T",91.3465472603703,2.69196957273833,0.545164340929375,4.27686273610378e-08,5.72386796181889e-06
"AFUB_089580-T",431.406376394938,1.54808741951227,0.310831408286638,4.36583367276648e-08,5.76290044805176e-06
"AFUB_081740-T",7522.49268312333,-1.21298457167126,0.24146396364955,4.4256471354411e-08,5.76291024285276e-06
"AFUB_004510-T",853.1536824323,-1.1507852852268,0.230812427365853,5.60860489024414e-08,7.20593556298568e-06
"AFUB_058720-T",607.284880698813,1.16351048616753,0.233595611651687,5.8465085589107e-08,7.4127574307452e-06
"AFUB_000460-T",799.463215806096,1.50174486937571,0.305987047278757,6.38278119638934e-08,7.98759475433866e-06
"AFUB_097200-T",761.27613569595,-1.27742737569836,0.260564838196269,7.45032056260428e-08,9.04375711565629e-06
"AFUB_086760-T",622.11144615404,-1.35774147980806,0.277684743339713,7.48392885964325e-08,9.04375711565629e-06
"AFUB_028440-T",37.6761049937058,2.23559889705853,0.461606856228362,7.55497867590442e-08,9.04375711565629e-06
"AFUB_014950-T",209.961535621657,1.54668882363056,0.317481153970936,7.60216195898879e-08,9.04375711565629e-06
"AFUB_051400-T",1217.01590188681,1.40892660309585,0.288513050372298,7.86486059615125e-08,9.24217032981871e-06
"AFUB_038480-T",1084.08371375142,-1.30043706621357,0.266223303556159,8.01185889997761e-08,9.30147859761256e-06
"AFUB_100830-T",144.279465378665,1.81759243459552,0.376380870416207,9.68924740672245e-08,1.11149509537116e-05
"AFUB_052650-T",727.55873431157,1.1277827599075,0.231032829153572,9.98470289818307e-08,1.1319129073752e-05
"AFUB_094720-T",1625.61715054003,1.12901184133073,0.232928097070883,1.1865331117175e-07,1.32946896098952e-05
"AFUB_097800-T",1536.88021326659,2.03052796055952,0.429799599486956,1.20503441900799e-07,1.33467950132885e-05
"AFUB_047810-T",575.480464343304,2.04223754586918,0.433187577892894,1.31289365107309e-07,1.43761854792504e-05
"AFUB_094410-T",205.966097252426,2.34544516767858,0.502024102070619,1.51933211491996e-07,1.61317163894141e-05
"AFUB_085990-T",18132.0739517927,-1.13811554473809,0.237787312244802,1.5378830083927e-07,1.61317163894141e-05
"AFUB_045330-T",248.952955410763,1.67564714342011,0.355998812459679,1.56660452536668e-07,1.62176840351094e-05
"AFUB_047520-T",5678.792422706,-1.26597437044083,0.265882787651631,1.58204887847684e-07,1.62176840351094e-05
"AFUB_088390-T",261.353376888388,1.28586226229774,0.272065079681594,1.86226991271062e-07,1.88892977672416e-05
"AFUB_034070-T",97.7907531315362,2.44619090289546,0.531222527971721,2.01579545840265e-07,2.00249536465648e-05
"AFUB_002420-T",1907.10291568787,-1.21827085134539,0.259698735086615,2.20017417595874e-07,2.13416457080518e-05
"AFUB_057600-T",181.927287432449,1.22693129258185,0.260902970346809,2.21299478118847e-07,2.13416457080518e-05
"AFUB_038140-T",181.134512642271,2.18932497795571,0.475640702383053,2.21478265961518e-07,2.13416457080518e-05
"AFUB_050040-T",415.365249253291,1.26698454801101,0.271024989408806,2.36478980247975e-07,2.2561499541282e-05
"AFUB_000600-T",577.681933293947,1.19693283937123,0.255715733540947,2.47021936942933e-07,2.33363076900206e-05
"AFUB_084490-T",4039.1481700827,-1.09515332115879,0.234366890802949,2.78260651390421e-07,2.57819195845971e-05
"AFUB_049700-T",1927.62417203972,-1.50911669602612,0.330278980153015,3.04172784763371e-07,2.76510278677344e-05
"AFUB_000960-T",499.468664582623,1.22342528905405,0.264504799163281,3.14642053528884e-07,2.83354282972367e-05
"AFUB_086140-T",13030.9869789381,-1.35773402466783,0.296027164241974,3.25004911114283e-07,2.89976604027521e-05
"AFUB_011970-T",30.8505324873603,2.19907021942801,0.480425494476761,3.3347137694473e-07,2.94800934700864e-05
"AFUB_049210-T",697.298326897761,2.42381935196253,0.537520797623581,3.44097226548027e-07,3.01429170456072e-05
"AFUB_093780-T",1151.07690021105,1.07990646770903,0.232821106520019,3.53206776798309e-07,3.06621666777343e-05
"AFUB_075410-T",470.836176223028,1.08432752361242,0.234535304492413,3.71383921535668e-07,3.19522809635508e-05
"AFUB_071570-T",161.943291595176,2.15537194895116,0.479826958727082,3.78169808093502e-07,3.19821944429649e-05
"AFUB_000230-T",637.687496322923,-1.65593421992297,0.366683746974438,3.78369672737443e-07,3.19821944429649e-05
"AFUB_102340-T",266.108915273262,1.29689192361469,0.283949597904235,4.01391745513416e-07,3.33431970669593e-05
"AFUB_095210-T",794.951978607811,-1.19684033862482,0.262806928404488,4.35710082957736e-07,3.58846355502628e-05
"AFUB_101660-T",306.801682587055,-1.42167094470655,0.315617616263214,4.60496694692046e-07,3.74726388920358e-05
"AFUB_044020-T",264.437963000592,-1.0134337671879,0.220485534386253,4.62769201759263e-07,3.74726388920358e-05
"AFUB_044650-T",399.278027696689,1.79385765048766,0.402735075558459,4.72347615614238e-07,3.79295135338233e-05
