# Program:featureCounts v2.0.6; Command:"featureCounts" "-g" "gene_id" "-G" "db/AfumigatusA1163_Genome.fasta" "-s" "0" "-a" "db/AfumigatusA1163_Genes.gtf" "--tmpDir" "/scratch/jstajich/15483333" "-o" "results/read_count_A1163.tsv" "-F" "GTF" "-T" "24" "-M" "Comp_Azole_1.bam" "Comp_Azole_2.bam" "Comp_Azole_3.bam" "Comp_GMM_1.bam" "Comp_GMM_2.bam" "Comp_GMM_3.bam" "Del_Azole_1.bam" "Del_Azole_2.bam" "Del_Azole_3.bam" "Del_GMM_1.bam" "Del_GMM_2.bam" "Del_GMM_3.bam" "OE_Azole_1.bam" "OE_Azole_2.bam" "OE_Azole_3.bam" "OE_GMM_1.bam" "OE_GMM_2.bam" "OE_GMM_3.bam" "WT_Azole_1.bam" "WT_Azole_2.bam" "WT_Azole_3.bam" "WT_GMM_1.bam" "WT_GMM_2.bam" "WT_GMM_3.bam" "-p" 
Geneid	Chr	Start	End	Strand	Length	Comp_Azole_1	Comp_Azole_2	Comp_Azole_3	Comp_GMM_1	Comp_GMM_2	Comp_GMM_3	Del_Azole_1	Del_Azole_2	Del_Azole_3	Del_GMM_1	Del_GMM_2	Del_GMM_3	OE_Azole_1	OE_Azole_2	OE_Azole_3	OE_GMM_1	OE_GMM_2	OE_GMM_3	WT_Azole_1	WT_Azole_2	WT_Azole_3	WT_GMM_1	WT_GMM_2	WT_GMM_3
AFUB_000010-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	7437;7780	7723;9931	-;-	2439	293	350	200	126	229	602	588	590	528	348	355	218	394	312	258	174	159	114	236	330	220	44	104	115
AFUB_000020-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	10883;11377;11889	11318;11843;12441	-;-;-	1456	1383	1261	1140	390	342	288	1573	1422	1770	252	278	340	1319	1189	1118	322	408	298	707	675	706	176	240	234
AFUB_000030-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	13108;13536	13463;13727	+;+	548	420	267	262	72	38	63	233	157	189	27	35	38	179	219	172	43	58	38	140	83	96	36	21	44
AFUB_000040-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	14109;14668;15499	14526;15401;15687	-;-;-	1341	1758	3497	2855	786	876	935	4590	4448	4825	737	1233	671	3819	3759	3681	804	719	850	2782	3435	2934	774	675	984
AFUB_000050-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	16046;16552;16840;16926	16494;16777;16862;17088	-;-;-;-	861	3043	4408	4801	107	130	154	7321	7005	8064	72	74	117	4172	3783	3617	149	96	94	1548	1359	1404	80	65	80
AFUB_000060-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	17859;18096;18401	18024;18338;18861	+;+;+	870	3856	2574	2631	90	74	100	4858	3860	5828	46	66	144	2540	1932	2517	65	83	39	1041	676	931	44	50	28
AFUB_000070-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	19317;19516;19707	19450;19627;20456	+;+;+	996	36	24	27	7	9	8	37	29	81	12	4	12	37	37	31	2	4	6	18	11	10	22	2	4
AFUB_000080-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	20545;20956	20886;21003	-;-	390	76	30	42	65	52	23	42	39	33	30	49	45	39	41	64	20	39	49	60	44	66	72	32	32
AFUB_000090-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	22791;23152;23456;24138	22848;23355;24084;24287	+;+;+;+	1041	0	6	4	2	4	5	0	2	0	2	2	0	0	0	4	4	4	0	5	0	4	20	0	0
AFUB_000100-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	24630;24932	24873;25907	+;+	1220	127	89	79	45	156	80	81	80	124	74	105	145	78	93	81	113	118	44	71	61	104	70	100	103
AFUB_000110-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	26950;27246;27329;27503;27809;27957;28640;28868	27173;27277;27434;27735;27897;28576;28810;29765	+;+;+;+;+;+;+;+	2373	1618	3512	2566	2051	4562	4876	4244	4077	5076	4024	4356	3667	5251	4146	4331	3280	2495	2596	4447	5062	3662	1388	5399	5507
AFUB_000120-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	30233;30388;31714;31845	30332;31657;31796;31981	-;-;-;-	1590	94	173	122	52	96	259	170	193	104	238	236	96	141	147	122	159	93	99	146	262	138	142	200	318
AFUB_000130-T	scf_000001_A_fumigatus_A1163	32190	33233	-	1044	6	7	10	17	11	19	7	9	4	18	18	8	12	19	9	20	17	13	16	13	6	32	10	2
AFUB_000140-T	scf_000001_A_fumigatus_A1163	33460	34173	-	714	156	157	108	111	152	80	70	92	124	94	74	103	102	112	134	128	156	89	128	84	92	72	122	88
AFUB_000150-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	34544;34749;35704;35843	34695;35639;35785;36121	+;+;+;+	1404	74	68	50	87	54	57	43	58	53	62	61	60	67	45	97	74	105	51	61	29	44	36	58	54
AFUB_000160-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	42448;43400	43353;45187	-;-	2694	19	24	14	20	29	24	22	24	14	14	16	14	24	26	22	21	2	12	42	70	34	4	42	63
AFUB_000170-T	scf_000001_A_fumigatus_A1163	45394	46905	+	1512	0	2	8	2	14	11	16	3	8	0	8	4	7	6	14	10	2	10	11	17	2	2	15	24
AFUB_000180-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	47670;47945;49023;49328	47896;48975;49275;49445	+;+;+;+	1629	13	26	4	10	31	35	10	10	24	23	21	19	18	25	30	29	38	13	9	20	0	20	20	20
AFUB_000190-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	50200;50536	50416;50939	-;-	621	19	75	108	76	52	116	100	113	95	89	140	85	161	84	78	173	103	98	230	211	109	95	177	217
AFUB_000200-T	scf_000001_A_fumigatus_A1163	51515	53380	+	1866	19	14	36	20	35	63	41	44	27	28	36	38	48	45	37	58	55	33	46	45	20	19	67	64
AFUB_000210-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	54576;54994;55683	54945;55622;56285	-;-;-	1602	18	23	15	4	9	26	29	13	23	8	14	13	28	27	21	28	13	0	23	11	6	2	7	8
AFUB_000220-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	56942;58383	58329;58536	-;-	1542	14	20	15	9	12	4	20	10	17	11	18	5	26	21	9	10	1	4	4	10	14	2	8	6
AFUB_000230-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	65075;65962	65851;66042	+;+	858	554	772	919	145	342	222	237	176	304	125	242	217	1150	1747	775	484	611	323	638	275	365	34	95	50
AFUB_000240-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	68181;68788;69364	68722;69302;69384	+;+;+	1078	930	939	1307	1031	1037	954	1001	793	1128	750	881	965	1216	1295	1147	1190	1253	1326	765	793	1034	711	719	734
AFUB_000250-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	69721;69885;70136;70347;70520;70975	69826;69975;70275;70440;70618;71182	-;-;-;-;-;-	738	44	46	35	30	33	17	38	22	21	33	39	30	19	26	31	45	45	32	31	24	19	57	15	27
AFUB_000260-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	76690;77742	77675;78497	+;+	1742	164	355	413	610	1697	506	182	192	366	556	342	778	388	370	497	708	1179	622	157	192	236	526	605	414
AFUB_000270-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	79615;79776;80055;80728;81036;81304	79730;80006;80683;80989;81254;81514	-;-;-;-;-;-	1668	1753	2494	2330	379	2326	2338	3481	2834	4254	694	1490	1997	4769	2706	2318	3227	2835	2039	922	1564	1148	56	568	491
AFUB_000280-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	82059;82545;84611	82500;84558;84883	-;-;-	2729	189	503	358	300	621	714	559	591	595	819	886	586	605	614	653	845	721	401	442	411	315	536	823	922
AFUB_000290-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	86203;88475	88408;89082	+;+	2814	1088	1578	1271	1323	3220	3561	2327	2113	2505	2661	3456	3229	1887	2010	1985	3089	2713	1662	2883	2686	1591	1324	5142	4468
AFUB_000300-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	89693;89814	89767;90577	+;+	839	8444	5811	3635	16093	6237	7897	4266	4320	4101	7758	6958	7166	4522	4723	4009	6307	6030	6418	9072	5634	6195	12292	8229	9173
AFUB_000310-T	scf_000001_A_fumigatus_A1163	91337	92050	+	714	1644	2176	2902	3275	3147	2766	2905	2554	2724	3791	4104	5013	2333	2734	1975	2897	3229	3289	2225	1986	2481	3510	3184	2736
AFUB_000320-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	92365;92908;93185;93500	92860;93134;93441;93917	+;+;+;+	1398	131	99	82	54	75	160	106	116	153	159	98	153	103	129	64	105	71	96	140	145	87	57	173	149
AFUB_000330-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	94806;95330;95669;95735;95829;96273;96396;96719;96834	95278;95619;95683;95775;96224;96350;96668;96771;96978	-;-;-;-;-;-;-;-;-	1764	24	29	34	90	73	103	73	45	54	278	171	182	56	62	60	104	71	82	88	52	81	328	131	85
AFUB_000340-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	100970;101079;102120	101030;102060;102900	+;+;+	1824	7039	6828	10008	554	696	784	3079	2849	4303	718	649	623	12177	10191	12662	882	1089	776	2850	3466	2881	250	413	354
AFUB_000350-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	103117;104206;104695	104150;104633;104981	-;-;-	1749	240	276	270	313	374	346	339	259	416	806	584	394	382	404	417	316	261	277	214	216	259	462	306	237
AFUB_000360-T	scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163;scf_000001_A_fumigatus_A1163	107218;107637;108033;108339	107579;107989;108290;108628	+;+;+;+	1263	170	147	122	135	131	154	151	145	85	105	112	169	208	226	211	232	265	137	270	216	224	238	252	188
